001 John Don 500 9.5 Painter Available johndon@email.com
002 Paul Vivar 67 6.2 Mechanics Available paulvivar@email.com
003 Tom Fenell 220 7.8 Welder Booked tomfenell@email.com
004 Cooper Chris 77 8.4 Mechanics Available cooperchris@email.com
005 Luka Toma 450 6.9 Mechanics Available lukatoma@email.com
006 Radien Towa 344 6.2 Welder Available radientowa@email.com
007 Cooper Wendland 300 8.8 Welder Booked cooperwendland@email.com
008 Micheal Oko 150 7.7 Plumber Available michealoko@email.com
009 Almat Botman 220 6.2 Welder Available almatbotman@email.com
010 Tervor Naoh 238 8.4 Painter Booked tervornaoh@email.com
015 Cooper Fish 800 5 Painter Available email.com
